id,month,year,region,population,pulmonary_tuberculosis,other_tuberculosis,typhoid,diptheria_and_croup,diptheria,croup,scarlet_fever,measles,whooping_cough,pneumonia,diarrhea_and_enteritis,diarrhea_under_five,cerebro_spinal_fever,polio,influenza,septicemia,cancer,external_causes,violence,smallpox
55,5,1918,class_5_cities,135780,16,3,1,0,...,...,1,0,3,18,2,...,0,0,8,0,6,10,...,0
56,6,1918,indiana,2911665,279,44,22,14,...,...,6,13,31,72,50,...,3,5,6,4,199,268,...,1
57,6,1918,northern_counties,1016514,84,10,10,3,...,...,2,4,8,27,14,...,0,1,1,1,81,139,...,0
58,6,1918,central_counties,1208708,130,23,9,8,...,...,3,0,11,33,23,...,2,0,5,2,87,95,...,0
59,6,1918,southern_counties,686443,65,11,3,3,...,...,1,9,12,12,13,...,1,4,0,1,31,34,...,1
60,6,1918,urban,1210486,122,17,10,9,...,...,1,5,16,42,27,...,2,3,1,2,81,169,...,0
61,6,1918,rural,1701179,157,27,12,5,...,...,5,8,15,30,23,...,1,2,5,2,118,99,...,1
62,6,1918,class_1_cities,289577,33,5,2,6,...,...,0,0,1,17,6,...,1,0,0,1,19,26,...,0
63,6,1918,class_2_cities,299257,31,3,3,2,...,...,0,2,5,8,6,...,1,2,0,0,21,17,...,0
64,6,1918,class_3_cities,320018,36,5,4,1,...,...,0,0,5,14,11,...,0,1,0,1,26,104,...,0
65,6,1918,class_4_cities,165854,12,1,1,0,...,...,1,0,2,2,1,...,0,0,1,0,8,10,...,0
66,6,1918,class_5_cities,135780,10,3,0,0,...,...,0,3,3,1,3,...,0,0,0,0,7,12,...,0
67,7,1918,indiana,2911665,233,41,23,21,...,...,0,2,24,70,134,...,5,2,1,17,203,261,...,3
68,7,1918,northern_counties,1016514,76,10,7,5,...,...,0,1,5,40,45,...,0,0,0,7,66,116,...,0
69,7,1918,central_counties,1208708,95,21,13,13,...,...,0,1,9,23,55,...,2,0,1,7,86,99,...,3
70,7,1918,southern_counties,686443,62,10,3,3,...,...,0,0,10,7,34,...,3,2,0,3,51,46,...,0
71,7,1918,urban,1210486,97,20,14,13,...,...,0,2,11,39,87,...,3,0,0,7,88,121,...,2
