Month,Year,Region,Population,Births,"Total Deaths",Tuberculosis,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years",Meningitis,Poliomyelitis,Influenza,Puerperal,Cancer,"External Causes",Violence,Accidental,Suicide,Homicidal,Smallpox,Syphilis,"Heart Disease",Apoplexy,"Bright's Disease",Diabetes,Goiter
October,1899,"Indiana (statewide)",2645138,...,3009,...,172,211,314,...,98,14,14,1,5,93,...,135,54,...,10,8,87,...,135,...,...,...,...,...,...,...,...,...,...
October,1899,"Northern counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
October,1899,"Central counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
October,1899,"Southern counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
October,1899,Urban,787890,...,1056,...,65,66,80,...,43,4,5,0,2,41,...,46,24,...,3,1,28,...,55,...,...,...,...,...,...,...,...,...,...
October,1899,Rural,1857248,...,1953,...,107,145,234,...,55,10,9,1,3,52,...,89,30,...,7,7,59,...,80,...,...,...,...,...,...,...,...,...,...
October,1899,"Cities, class 1",192189,...,266,...,16,17,21,...,5,2,4,0,1,12,...,6,3,...,1,0,5,...,18,...,...,...,...,...,...,...,...,...,...
October,1899,"Cities, class 2",114824,...,131,...,8,7,8,...,5,0,0,0,0,8,...,7,3,...,0,0,7,...,7,...,...,...,...,...,...,...,...,...,...
October,1899,"Cities, class 3",210866,...,294,...,21,19,25,...,22,0,0,0,0,4,...,13,10,...,0,0,7,...,13,...,...,...,...,...,...,...,...,...,...
October,1899,"Cities, class 4",140568,...,182,...,8,11,13,...,2,0,0,0,0,8,...,10,5,...,1,0,7,...,5,...,...,...,...,...,...,...,...,...,...
October,1899,"Cities, class 5",129443,...,183,...,12,12,13,...,9,2,1,0,1,9,...,10,3,...,1,1,2,...,12,...,...,...,...,...,...,...,...,...,...
November,1899,"Indiana (statewide)",2645138,...,2510,...,269,18,199,...,111,17,12,0,11,145,...,64,37,...,7,7,79,...,124,...,...,...,...,...,...,...,...,...,...
November,1899,"Northern counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
November,1899,"Central counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
November,1899,"Southern counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
November,1899,Urban,787890,...,922,...,104,12,46,...,52,4,5,0,6,49,...,17,13,...,4,3,33,...,48,...,...,...,...,...,...,...,...,...,...
November,1899,Rural,1857248,...,1588,...,165,6,153,...,59,13,7,0,5,96,...,47,24,...,3,4,46,...,76,...,...,...,...,...,...,...,...,...,...
November,1899,"Cities, class 1",192189,...,258,...,37,2,13,...,12,0,1,0,3,13,...,4,4,...,1,1,9,...,12,...,...,...,...,...,...,...,...,...,...
November,1899,"Cities, class 2",114824,...,130,...,18,2,5,...,11,2,1,0,0,7,...,3,0,...,1,0,4,...,5,...,...,...,...,...,...,...,...,...,...
November,1899,"Cities, class 3",210866,...,234,...,22,4,6,...,18,1,0,0,2,13,...,4,2,...,0,0,9,...,21,...,...,...,...,...,...,...,...,...,...
November,1899,"Cities, class 4",140568,...,159,...,13,2,15,...,3,0,3,0,0,6,...,3,7,...,2,2,5,...,5,...,...,...,...,...,...,...,...,...,...
November,1899,"Cities, class 5",129443,...,141,...,14,2,7,...,8,1,0,0,1,10,...,3,0,...,0,0,6,...,5,...,...,...,...,...,...,...,...,...,...
December,1899,"Indiana (statewide)",2645138,...,2607,...,302,82,138,...,93,14,20,1,12,252,...,23,29,...,8,11,64,...,136,...,...,...,...,...,...,...,...,...,...
December,1899,"Northern counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
December,1899,"Central counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
December,1899,"Southern counties",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
December,1899,Urban,787890,...,961,...,118,23,50,...,41,5,10,1,0,83,...,11,9,...,4,3,32,...,55,...,...,...,...,...,...,...,...,...,...
December,1899,Rural,1857248,...,1646,...,184,59,88,...,52,9,10,0,0,169,...,12,20,...,4,8,32,...,81,...,...,...,...,...,...,...,...,...,...
December,1899,"Cities, class 1",192189,...,284,...,33,4,8,...,9,0,4,0,0,30,...,3,3,...,1,1,11,...,15,...,...,...,...,...,...,...,...,...,...
December,1899,"Cities, class 2",114824,...,122,...,9,3,5,...,7,1,0,0,0,14,...,2,1,...,1,0,8,...,6,...,...,...,...,...,...,...,...,...,...
December,1899,"Cities, class 3",210866,...,248,...,37,8,17,...,16,1,2,1,0,13,...,5,2,...,0,1,4,...,12,...,...,...,...,...,...,...,...,...,...
December,1899,"Cities, class 4",140568,...,163,...,24,7,13,...,7,0,0,0,0,10,...,1,0,...,1,0,4,...,14,...,...,...,...,...,...,...,...,...,...
December,1899,"Cities, class 5",129443,...,144,...,15,1,7,...,2,3,4,0,0,16,...,0,3,...,1,1,5,...,8,...,...,...,...,...,...,...,...,...,...
January,1900,"Indiana (statewide)",2644980,...,2858,...,298,85,89,...,68,21,13,1,11,385,...,18,51,...,51,17,69,...,83,...,...,...,...,...,...,...,...,...,...
January,1900,"Northern counties",892448,...,826,...,76,19,21,...,29,6,4,0,6,94,...,7,16,...,11,6,21,...,20,...,...,...,...,...,...,...,...,...,...
January,1900,"Central counties",1022694,...,1212,...,130,45,37,...,29,6,8,0,5,159,...,7,21,...,20,7,31,...,36,...,...,...,...,...,...,...,...,...,...
January,1900,"Southern counties",729838,...,820,...,195,21,31,...,10,9,1,1,0,132,...,4,14,...,20,4,17,...,27,...,...,...,...,...,...,...,...,...,...
January,1900,Urban,790522,...,1072,...,105,33,36,...,30,3,4,1,4,125,...,11,22,...,16,9,31,...,34,...,...,...,...,...,...,...,...,...,...
January,1900,Rural,1854458,...,1786,...,193,52,53,...,38,18,9,0,7,260,...,7,29,...,35,8,38,...,49,...,...,...,...,...,...,...,...,...,...
January,1900,"Cities, class 1",192189,...,311,...,32,11,12,...,8,1,2,0,1,35,...,2,6,...,7,3,12,...,14,...,...,...,...,...,...,...,...,...,...
January,1900,"Cities, class 2",114824,...,145,...,14,5,4,...,8,0,0,0,0,14,...,3,6,...,0,1,5,...,6,...,...,...,...,...,...,...,...,...,...
January,1900,"Cities, class 3",210866,...,288,...,28,8,11,...,11,2,1,1,0,33,...,5,4,...,6,1,7,...,5,...,...,...,...,...,...,...,...,...,...
January,1900,"Cities, class 4",140568,...,173,...,22,7,9,...,1,0,0,0,1,22,...,1,5,...,2,1,3,...,5,...,...,...,...,...,...,...,...,...,...
January,1900,"Cities, class 5",132075,...,155,...,9,2,0,...,2,0,1,0,2,21,...,0,1,...,1,3,4,...,4,...,...,...,...,...,...,...,...,...,...
February,1900,"Indiana (statewide)",2644980,...,2732,...,339,56,48,...,50,17,14,1,20,401,...,9,58,...,65,7,78,...,87,...,...,...,4,...,...,...,...,...,...
February,1900,"Northern counties",892448,...,811,...,71,21,11,...,20,10,4,0,9,102,...,3,8,...,16,3,27,...,36,...,...,...,0,...,...,...,...,...,...
February,1900,"Central counties",1022694,...,1109,...,142,27,20,...,19,5,8,0,8,176,...,2,31,...,29,3,34,...,29,...,...,...,2,...,...,...,...,...,...
February,1900,"Southern counties",729838,...,812,...,126,8,17,...,11,2,2,1,3,123,...,4,19,...,20,1,17,...,22,...,...,...,2,...,...,...,...,...,...
February,1900,Urban,790522,...,1073,...,139,31,15,...,22,4,4,0,5,145,...,5,17,...,17,0,33,...,42,...,...,...,1,...,...,...,...,...,...
February,1900,Rural,1854458,...,1659,...,200,25,33,...,28,13,10,1,15,256,...,4,41,...,48,7,45,...,45,...,...,...,3,...,...,...,...,...,...
February,1900,"Cities, class 1",192189,...,275,...,38,2,3,...,4,1,2,0,2,40,...,1,7,...,7,0,8,...,9,...,...,...,0,...,...,...,...,...,...
February,1900,"Cities, class 2",114824,...,133,...,18,4,4,...,4,0,0,0,1,13,...,0,2,...,1,0,4,...,6,...,...,...,0,...,...,...,...,...,...
February,1900,"Cities, class 3",210866,...,315,...,40,16,7,...,11,3,0,0,2,40,...,3,3,...,3,0,8,...,10,...,...,...,0,...,...,...,...,...,...
February,1900,"Cities, class 4",140568,...,187,...,26,6,0,...,2,0,1,0,1,27,...,0,2,...,4,0,10,...,7,...,...,...,1,...,...,...,...,...,...
February,1900,"Cities, class 5",132075,...,163,...,17,3,1,...,1,0,1,0,0,25,...,1,3,...,3,0,3,...,10,...,...,...,0,...,...,...,...,...,...
March,1900,"Indiana (statewide)",2644980,...,3217,...,351,84,42,...,51,16,14,4,17,594,...,21,60,...,97,13,89,...,100,...,...,...,2,...,...,...,...,...,...
