Month,Year,Region,Population,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years","Cerebro-Spinal Fever",Poliomyelitis,Influenza,"Puerperal Septicemia",Cancer,"External Causes",Violence,Smallpox
November,1899,"Cities, class 2",114824,18,2,5,...,11,2,1,0,0,7,...,3,0,...,1,0,4,...,5,...
November,1899,"Cities, class 3",210866,22,4,6,...,18,1,0,0,2,13,...,4,2,...,0,0,9,...,21,...
November,1899,"Cities, class 4",140568,13,2,15,...,3,0,3,0,0,6,...,3,7,...,2,2,5,...,5,...
November,1899,"Cities, class 5",129443,14,2,7,...,8,1,0,0,1,10,...,3,0,...,0,0,6,...,5,...
December,1899,"Indiana (statewide)",2645138,302,82,138,...,93,14,20,1,12,252,...,23,29,...,8,11,64,...,136,...
December,1899,"Northern counties",,,,,,,,,,,,,,,,,,,,,
December,1899,"Central counties",,,,,,,,,,,,,,,,,,,,,
December,1899,"Southern counties",,,,,,,,,,,,,,,,,,,,,
December,1899,Urban,787890,118,23,50,...,41,5,10,1,0,83,...,11,9,...,4,3,32,...,55,...
December,1899,Rural,1857248,184,59,88,...,52,9,10,0,0,169,...,12,20,...,4,8,32,...,81,...
December,1899,"Cities, class 1",192189,33,4,8,...,9,0,4,0,0,30,...,3,3,...,1,1,11,...,15,...
