Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
July,1918,Northern counties,1016514,76,10,7,5,,1,5,40,45,,,,7,66,116,
July,1918,Central counties,1208708,95,21,13,13,,1,9,23,55,2,,1,7,86,99,3
July,1918,Southern counties,686443,62,10,3,3,,,10,7,34,3,2,,3,51,46,
July,1918,All cities,1210486,97,20,14,13,,2,11,39,87,3,,,7,88,121,2
July,1918,"Over 100,000",289577,26,7,5,7,,,5,7,22,2,,,1,16,28,2
July,1918,"45,000 to 100,000",299257,24,2,3,2,,1,2,8,13,,,,3,26,28,
July,1918,"20,000 to 45,000",320018,25,6,2,3,,1,2,20,28,,,,2,17,46,
July,1918,"10,000 to 20,000",165854,12,2,,1,,,,1,13,,,,,16,9,
July,1918,"Under 10,000",135780,10,3,4,,,,2,3,11,1,,,1,13,10,
July,1918,Country,1701179,136,21,9,8,,,13,31,47,2,2,1,10,115,140,1
August,1918,State,2911665,219,45,43,23,4,1,11,60,238,4,5,5,11,227,245,
August,1918,Northern counties,1016514,70,15,9,5,2,,3,15,88,1,,,4,79,102
August,1918,Central counties,1208708,91,22,18,15,2,,4,34,90,2,1,3,2,106,92
August,1918,Southern counties,686443,58,8,16,3,,1,4,11,60,1,4,2,5,42,51
August,1918,All cities,1210486,109,26,18,14,2,1,4,28,130,2,3,3,5,115,114
August,1918,"Over 100,000",289577,34,5,3,9,,,2,9,24,,,1,,32,24
August,1918,"45,000 to 100,000",299257,24,9,6,1,,,,4,30,,2,1,3,24,23
August,1918,"20,000 to 45,000",320018,30,5,7,3,2,,1,11,44,1,1,,,30,45
August,1918,"10,000 to 20,000",165854,11,5,2,1,,,,2,18,1,,,2,13,8
August,1918,"Under 10,000",135780,10,2,,,,1,1,2,14,,,,,16,14
August,1918,Country,1701179,110,19,25,9,2,,7,32,108,2,2,2,6,112,131
September,1918,State,2911665,186,44,44,31,3,1,11,130,221,1,4,61,8,189,160
September,1918,Northern counties,1016514,57,11,15,17,2,,3,55,83,,1,20,2,70,64
September,1918,Central counties,1208708,86,23,17,11,1,,6,59,81,1,2,35,4,89,65
September,1918,Southern counties,686443,43,10,12,3,,1,2,16,57,,1,6,2,30,31
September,1918,All cities,1210486,84,25,20,25,2,1,5,88,114,1,2,32,4,83,86
September,1918,"Over 100,000",289577,29,5,2,4,,,1,27,20,,,7,3,23,18
September,1918,"45,000 to 100,000",299257,21,7,3,1,,,,13,24,1,1,3,,24,24
September,1918,"20,000 to 45,000",320018,13,5,9,17,2,,1,36,38,,1,22,1,17,34
September,1918,"10,000 to 20,000",165854,8,5,3,2,,1,3,5,21,,,,,11,5
September,1918,"Under 10,000",135780,13,3,3,1,,,,7,11,,,,,11,5
September,1918,Country,1701179,102,19,24,6,1,,6,42,107,,2,29,4,106,74
October,1918,State,2911665,233,36,75,34,3,1,21,1261,128,1,4,2030,17,197,194
