Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
April,1920,Northern counties,1042514,79,17,5,5,9,19,8,106,18,,,21,11,66,49,
April,1920,Central counties,1219131,111,17,1,9,5,27,5,120,8,,1,51,18,101,83,1
April,1920,Southern counties,686443,87,7,3,7,2,14,5,52,10,,,25,2,36,27,1
April,1920,All cities,1246909,120,24,8,9,10,29,11,141,24,,,38,18,104,88,
April,1920,"Over 100,000",300000,37,5,,2,1,5,1,41,4,,,13,5,27,27,
April,1920,"45,000 to 100,000",355257,33,4,2,3,4,9,3,35,7,,,6,3,29,21,
April,1920,"20,000 to 45,000",290018,23,7,3,2,3,12,4,44,10,,,8,6,25,23,
April,1920,"10,000 to 20,000",165854,13,4,2,2,1,3,2,15,2,,,5,2,8,7,
April,1920,"Under 10,000",135780,14,4,1,,,,1,6,1,,,6,2,15,10,
April,1920,Country,1701179,157,17,1,12,6,31,7,137,12,,1,59,13,99,71,2
May,1920,State,2948088,254,45,18,25,22,57,27,322,40,4,2,43,25,184,195,1
May,1920,Northern counties,1042514,85,11,13,12,9,25,7,128,24,2,,12,7,56,87,
May,1920,Central counties,1219131,109,23,3,8,9,23,11,146,12,2,2,23,12,100,74,1
May,1920,Southern counties,686443,60,11,2,5,4,9,9,48,4,,,8,6,28,34,
May,1920,All cities,1246909,111,24,9,9,10,34,12,179,32,1,1,20,13,85,87,
May,1920,"Over 100,000",300000,43,12,,3,2,11,2,61,7,1,1,5,1,28,21,
May,1920,"45,000 to 100,000",355257,20,6,2,2,4,11,5,45,6,,,4,5,22,28,
May,1920,"20,000 to 45,000",290018,18,3,6,5,2,8,3,46,13,,,5,4,15,17,
May,1920,"10,000 to 20,000",165854,15,1,,4,1,2,2,11,1,,,2,1,9,10,
May,1920,"Under 10,000",135780,15,2,1,,1,2,,16,5,,,4,2,11,11,
May,1920,Country,1701179,143,21,9,16,12,23,15,143,8,3,1,23,12,99,108,1
June,1920,State,2948088,195,47,21,10,11,22,27,133,42,6,2,23,13,220,196,
June,1920,Northern counties,1042514,58,14,16,7,7,7,8,49,22,3,1,10,1,80,71,
June,1920,Central counties,1219131,83,23,5,3,2,11,12,60,14,3,,10,6,95,83,
June,1920,Southern counties,686443,54,10,,,2,4,7,24,6,,1,3,6,45,42,
June,1920,All cities,1246909,93,28,14,9,9,12,17,92,31,6,1,7,8,109,97,
June,1920,"Over 100,000",300000,28,8,1,2,,3,3,29,10,3,,1,3,28,22,
June,1920,"45,000 to 100,000",355257,23,6,3,,5,6,6,26,8,2,,1,3,29,32,
June,1920,"20,000 to 45,000",290018,15,10,9,5,2,1,3,20,11,,1,3,,22,26,
June,1920,"10,000 to 20,000",165854,13,2,1,2,,1,4,9,1,1,,2,1,16,9,
June,1920,"Under 10,000",135780,14,2,,,2,1,1,8,1,,,,1,14,8,
June,1920,Country,1701179,102,19,7,1,2,10,10,41,11,,1,16,5,111,99,
July,1920,State,2948088,185,43,18,16,7,4,23,85,66,1,1,13,8,229,233,
July,1920,Northern counties,1042514,61,19,8,8,3,2,6,31,13,1,,5,3,74,104,
July,1920,Central counties,1219131,75,21,6,8,,1,8,36,42,,1,8,3,108,84,
July,1920,Southern counties,686443,49,3,4,,4,1,9,18,11,,,,2,47,45,
July,1920,All cities,1246909,87,24,9,7,2,,15,49,41,1,,5,3,110,114
July,1920,"Over 100,000",300000,28,7,1,1,,,5,16,19,,,3,1,35,21
July,1920,"45,000 to 100,000",355257,25,6,2,3,,,5,14,10,,,,2,27,34
July,1920,"20,000 to 45,000",290018,15,1,3,3,,,2,8,4,1,,2,,26,30
July,1920,"10,000 to 20,000",165854,8,4,1,,,,3,6,4,,,,,9,13
July,1920,"Under 10,000",135780,11,6,2,,2,,,5,4,,,,,13,16
July,1920,Country,1701179,98,19,9,9,5,4,8,36,25,,,8,5,119,119
August,1920,State,2948088,179,33,32,9,4,,17,75,147,1,1,6,14,186,187
August,1920,Northern counties,1042514,54,7,8,4,2,,5,30,33,1,1,,4,68,71
August,1920,Central counties,1219131,77,16,8,4,2,,9,30,66,,,5,6,82,82
August,1920,Southern counties,686443,48,10,16,1,,,3,15,48,,,1,4,36,34
August,1920,All cities,1246909,93,18,13,7,2,,8,62,85,1,1,1,8,87,80
August,1920,"Over 100,000",300000,23,5,3,1,,,4,9,26,,,1,2,18,24
August,1920,"45,000 to 100,000",355257,22,7,5,3,1,,3,20,26,,,,2,22,24
August,1920,"20,000 to 45,000",290018,24,4,1,2,,,,8,16,,1,,3,31,25
August,1920,"10,000 to 20,000",165854,17,1,2,1,,,,5,10,,,,1,9,2
August,1920,"Under 10,000",135780,7,1,2,,1,,1,,7,1,,,,7,5,
August,1920,Country,1701179,86,15,19,2,2,,9,13,62,,,5,6,99,107,
September,1920,State,2948088,150,41,33,18,2,1,10,68,225,2,,6,6,209,205,2
September,1920,Northern counties,1042514,49,15,12,7,,1,2,26,55,,,3,2,74,82,1
September,1920,Central counties,1219131,66,19,8,5,2,,7,28,109,2,,,2,95,89,1
September,1920,Southern counties,686443,35,7,13,6,,,1,14,61,,,3,2,40,34,
September,1920,All cities,1246909,69,21,13,12,,,3,40,119,,,1,3,101,89,1
September,1920,"Over 100,000",300000,24,9,1,1,,,,13,29,,,,1,33,17,
September,1920,"45,000 to 100,000",355257,14,2,6,3,,,3,8,31,,,,,27,30,
September,1920,"20,000 to 45,000",290018,18,5,3,5,,,,11,32,,,1,,25,18,
September,1920,"10,000 to 20,000",165854,6,4,2,3,,,,2,16,,,,,11,15,1
September,1920,"Under 10,000",135780,7,1,1,,,,,6,11,,,,2,5,9,
September,1920,Country,1701179,81,20,20,6,2,1,7,28,106,2,,5,3,108,116,1
October,1920,State,2948088,154,51,39,50,12,,19,128,201,1,1,15,6,191,219,
October,1920,Northern counties,1042514,51,22,11,13,5,,6,37,73,,,4,3,74,85,
October,1920,Central counties,1219131,61,23,9,21,3,,11,58,77,1,1,6,2,83,101,
October,1920,Southern counties,686443,42,6,19,16,4,,2,33,51,,,5,1,34,33
October,1920,All cities,1246909,75,34,18,27,6,,4,77,117,1,1,6,5,82,114
October,1920,"Over 100,000",300000,16,6,2,3,,,2,18,23,1,,,,15,25
October,1920,"45,000 to 100,000",355257,22,10,4,12,1,,,20,27,,,2,3,20,39
October,1920,"20,000 to 45,000",290018,17,9,5,6,2,,1,23,35,,1,1,,20,28
October,1920,"10,000 to 20,000",165854,12,6,6,5,1,,1,9,15,,,1,1,12,12
October,1920,"Under 10,000",135780,8,3,1,1,2,,,7,16,,,2,1,15,10
October,1920,Country,1701179,79,17,21,23,6,,15,51,84,,,9,1,109,105
November,1920,State,2948088,156,31,29,46,17,2,29,210,71,,1,17,14,202,195
November,1920,Northern counties,1042514,51,5,10,16,8,1,9,78,29,,1,2,7,72,77
November,1920,Central counties,1219131,61,14,9,16,7,,15,78,27,,,5,5,85,79
November,1920,Southern counties,686443,44,12,10,14,2,1,5,54,15,,,10,2,45,39
November,1920,All cities,1246909,82,20,11,19,9,,8,104,44,,,3,8,92,98
November,1920,"Over 100,000",300000,26,6,2,3,3,,,24,10,,,1,2,25,16
November,1920,"45,000 to 100,000",355257,24,3,3,5,2,,1,31,13,,,1,1,19,34
November,1920,"20,000 to 45,000",290018,16,4,3,9,3,,4,20,13,,,1,1,24,30
November,1920,"10,000 to 20,000",165854,8,3,3,,,,,12,6,,,,3,11,8,
November,1920,"Under 10,000",135780,8,4,,2,1,,3,17,2,,,,1,13,10,
November,1920,Country,1701179,74,11,18,27,8,2,11,106,27,,1,14,6,110,97,
December,1920,State,2948088,167,33,26,67,16,3,29,354,29,1,1,32,17,202,171,4
December,1920,Northern counties,1042514,39,7,11,30,10,,6,117,8,,,10,3,85,72,
December,1920,Central counties,1219131,75,16,9,15,4,2,18,136,10,1,1,14,11,78,73,2
December,1920,Southern counties,686443,53,10,6,22,2,1,5,101,11,,,8,3,39,26,2
December,1920,All cities,1246909,80,16,11,40,6,1,13,176,18,1,,15,10,108,107,2
December,1920,"Over 100,000",300000,24,5,2,3,1,,4,35,3,,,3,2,24,22,
December,1920,"45,000 to 100,000",355257,25,2,2,24,3,,2,54,5,,,2,5,25,35,
December,1920,"20,000 to 45,000",290018,13,4,7,10,2,,4,48,4,,,5,1,31,32,1
December,1920,"10,000 to 20,000",165854,7,3,,2,,1,2,20,3,1,,4,,17,11,1
December,1920,"Under 10,000",135780,11,2,,1,,,1,19,3,,,1,2,11,7,
December,1920,Country,1701179,87,17,15,27,10,2,16,178,11,,,17,7,94,64,2
