Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
June,1921,"Rural, population under 5,000",1626076,101,10,4,5,3,3,12,19,31,0,,3,5,103,139,1
June,1921,"Cities, population over 100,000",314194,31,6,1,3,2,,7,15,8,1,,,3,31,22,
June,1921,"Cities, population 45,000 to 100,000",364257,17,5,1,6,,1,2,16,7,,,1,5,39,41,
June,1921,"Cities, population 20,000 to 45,000",310222,19,4,3,4,1,,7,7,4,,,,6,20,24,1
June,1921,"Cities, population 10,000 to 20,000",183202,9,1,3,6,,,6,10,4,,,2,2,15,16,
June,1921,"Cities, population 5,000 to 10,000",132593,8,4,1,1,1,,2,2,11,,,,1,11,13,
July,1921,Indiana (statewide),2930544,186,33,38,29,7,1,30,55,211,,4,6,9,204,272,1
July,1921,Northern counties,1055563,60,7,11,15,2,,8,20,65,,4,2,4,70,109,1
July,1921,Central counties,1217831,80,17,11,8,3,,14,26,86,,,1,3,93,114,
July,1921,Southern counties,657150,46,9,16,6,2,1,8,9,60,,,3,2,41,49,
July,1921,"Urban, population over 5,000",1304468,91,19,13,21,2,,18,39,104,,3,2,5,100,126,
July,1921,"Rural, population under 5,000",1626076,95,14,15,8,5,1,12,16,107,,1,4,4,104,146,1
July,1921,"Cities, population over 100,000",314194,25,7,3,5,1,,2,14,17,,,,,24,25,
July,1921,"Cities, population 45,000 to 100,000",364257,26,3,2,2,,,2,7,21,,,,2,31,40,
July,1921,"Cities, population 20,000 to 45,000",310222,17,4,2,10,1,,6,13,30,,1,2,2,19,24,
July,1921,"Cities, population 10,000 to 20,000",183202,12,1,4,3,,,6,2,21,,2,,1,17,19,
July,1921,"Cities, population 5,000 to 10,000",132593,11,4,2,1,,,2,3,15,,,,,9,18,
August,1921,Indiana (statewide),2930544,154,30,64,23,4,1,16,66,181,1,11,11,13,250,209,
August,1921,Northern counties,1055563,48,8,22,10,,,11,24,70,1,7,2,3,97,88,
August,1921,Central counties,1217831,66,17,23,9,2,,3,30,76,,3,9,7,117,84
August,1921,Southern counties,657150,40,5,19,4,2,1,2,12,35,,1,,3,36,37
August,1921,"Urban, population over 5,000",1304468,75,11,31,12,2,,8,36,91,,4,5,8,120,97
August,1921,"Rural, population under 5,000",1626076,79,19,33,11,2,1,8,30,90,1,7,6,5,130,112
August,1921,"Cities, population over 100,000",314194,25,6,4,3,,,2,10,18,,,1,1,32,15
August,1921,"Cities, population 45,000 to 100,000",364257,18,2,10,4,,,1,9,18,,3,1,6,25,35
August,1921,"Cities, population 20,000 to 45,000",310222,9,2,10,3,,,2,7,25,,,2,,31,23
August,1921,"Cities, population 10,000 to 20,000",183202,14,,5,2,,,2,7,18,,,1,1,19,15
August,1921,"Cities, population 5,000 to 10,000",132593,9,1,2,,2,,1,3,12,,1,,,13,9
September,1921,Indiana (statewide),2930544,153,26,58,69,5,1,13,98,211,4,8,16,11,206,211
September,1921,Northern counties,1055563,49,5,9,24,1,,5,37,91,1,6,4,5,71,78
September,1921,Central counties,1217831,72,14,33,25,3,1,4,48,84,2,,9,6,97,94
September,1921,Southern counties,657150,32,7,16,20,1,,4,13,36,1,2,3,,38,39
September,1921,"Urban, population over 5,000",1304468,85,14,24,38,2,,6,50,120,1,4,5,7,106,117
September,1921,"Rural, population under 5,000",1626076,68,12,34,31,3,1,7,48,91,3,4,11,4,100,94
September,1921,"Cities, population over 100,000",314194,27,3,5,13,,,1,19,18,,,1,2,32,24
September,1921,"Cities, population 45,000 to 100,000",364257,21,7,7,8,,,1,13,21,,2,1,1,33,43,
September,1921,"Cities, population 20,000 to 45,000",310222,15,1,6,9,2,,1,9,41,,,1,3,21,21,
September,1921,"Cities, population 10,000 to 20,000",183202,10,3,3,3,,,3,3,26,1,1,,1,8,15,
September,1921,"Cities, population 5,000 to 10,000",132593,12,,3,5,,,,6,14,,1,2,,12,14,
October,1921,Indiana (statewide),2930544,144,47,56,142,8,1,6,146,142,1,4,22,7,225,191,
October,1921,Northern counties,1055563,38,16,16,28,3,,3,32,47,1,1,7,2,72,75,
October,1921,Central counties,1217831,72,23,19,56,1,1,2,82,55,,3,9,5,94,75,
October,1921,Southern counties,657150,34,8,21,58,4,,1,32,40,,,6,,59,41,
October,1921,"Urban, population over 5,000",1304468,71,22,18,71,2,1,3,69,71,,2,7,2,102,102,
October,1921,"Rural, population under 5,000",1626076,73,25,38,71,6,,3,77,71,1,2,15,5,123,89,
October,1921,"Cities, population over 100,000",314194,25,6,2,20,,1,,22,12,,,2,1,20,17,
October,1921,"Cities, population 45,000 to 100,000",364257,22,4,6,19,1,,1,16,22,,1,1,,29,33,
October,1921,"Cities, population 20,000 to 45,000",310222,13,4,6,10,,,1,16,16,,,3,,28,26,
October,1921,"Cities, population 10,000 to 20,000",183202,6,3,2,13,1,,,10,11,,1,1,1,12,13,
October,1921,"Cities, population 5,000 to 10,000",132593,5,5,2,9,,,1,5,10,,,,,13,13,
November,1921,Indiana (statewide),2930544,179,31,29,124,16,1,2,206,41,2,,14,10,209,176,1
November,1921,Northern counties,1055563,40,6,7,31,3,,,68,17,,,3,3,68,55,1
November,1921,Central counties,1217831,88,17,9,53,9,1,1,84,17,1,,5,4,98,86,
November,1921,Southern counties,657150,51,8,13,40,4,,1,54,7,1,,6,3,43,35,
November,1921,"Urban, population over 5,000",1304468,89,14,13,61,5,1,1,115,20,1,,5,8,101,96,
November,1921,"Rural, population under 5,000",1626076,90,17,16,63,11,,1,91,21,1,,9,2,108,80,1
November,1921,"Cities, population over 100,000",314194,29,4,1,18,1,1,,32,5,1,,,1,28,20,
November,1921,"Cities, population 45,000 to 100,000",364257,25,5,2,11,1,,1,33,2,,,,3,17,25,
November,1921,"Cities, population 20,000 to 45,000",310222,9,2,4,14,2,,,29,9,,,2,3,23,26,
November,1921,"Cities, population 10,000 to 20,000",183202,14,2,4,7,,,,11,3,,,1,,18,14,
November,1921,"Cities, population 5,000 to 10,000",132593,12,1,2,11,1,,,10,1,,,2,1,15,11,
December,1921,Indiana (statewide),2930544,178,27,22,96,12,1,7,277,37,3,2,32,11,197,197,3
December,1921,Northern counties,1055563,56,10,5,22,7,1,4,109,15,1,,3,4,75,67,2
December,1921,Central counties,1217831,74,12,9,35,4,,2,117,14,2,1,22,4,90,88,1
December,1921,Southern counties,657150,48,5,8,39,1,,1,51,8,,1,7,3,32,42,
December,1921,"Urban, population over 5,000",1304468,86,16,6,43,4,,5,138,24,3,1,18,5,99,110,
December,1921,"Rural, population under 5,000",1626076,92,11,16,53,8,1,2,139,13,,1,14,6,98,87,3
December,1921,"Cities, population over 100,000",314194,21,3,3,13,1,,,42,8,1,,7,1,25,28
December,1921,"Cities, population 45,000 to 100,000",364257,24,4,,10,,,,36,6,,,5,1,26,36
December,1921,"Cities, population 20,000 to 45,000",310222,19,2,,10,2,,4,26,6,2,,4,2,25,27
December,1921,"Cities, population 10,000 to 20,000",183202,12,4,2,5,1,,1,23,1,,1,1,1,10,9
December,1921,"Cities, population 5,000 to 10,000",132593,10,3,1,5,,,,11,3,,,1,,13,10
