Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
January,1914,Indiana (statewide),2796957,280,39,37,42,16,9,24,405,49,5,2,52,16,170,183,1
January,1914,Northern counties,972129,70,8,17,14,7,1,6,131,21,0,1,18,6,61,66,0
January,1914,Central counties,1152277,129,20,10,19,8,4,5,174,16,4,1,11,8,79,85,0
January,1914,Southern counties,672551,81,11,10,9,1,4,13,100,12,1,0,23,2,30,32,1
January,1914,"Urban, population over 5,000",1246315,134,15,19,20,6,5,8,178,34,0,0,21,9,87,108,1
January,1914,"Rural, population under 5,000",1550642,146,24,18,22,10,4,16,227,15,5,2,31,7,83,75,0
January,1914,"Cities, population over 100,000",252994,35,5,2,4,1,0,2,41,3,0,0,3,3,23,34,0
January,1914,"Cities, population 45,000 to 100,000",267060,15,0,3,4,1,0,1,33,8,0,0,1,0,15,25,0
January,1914,"Cities, population 20,000 to 45,000",229816,19,1,3,3,3,0,2,42,15,0,0,2,2,11,19,1
January,1914,"Cities, population 10,000 to 20,000",174438,22,3,6,4,0,1,1,26,0,0,0,2,0,11,12,0
January,1914,"Cities, population 5,000 to 10,000",322007,43,6,5,5,1,4,2,36,8,0,0,13,4,27,18,0
February,1914,Indiana (statewide),2796957,322,43,38,39,6,19,21,356,47,4,1,63,20,154,178,0
February,1914,Northern counties,972129,75,8,19,13,3,2,4,115,25,1,0,9,6,69,72,0
February,1914,Central counties,1152277,150,24,13,17,2,4,7,148,14,1,1,26,8,61,71,0
February,1914,Southern counties,672551,97,11,6,9,1,13,10,93,8,2,0,28,6,24,35,0
February,1914,"Urban, population over 5,000",1246315,155,24,28,16,4,6,8,180,29,2,0,24,10,77,115,0
February,1914,"Rural, population under 5,000",1550642,167,19,10,23,2,13,13,176,18,2,1,39,10,77,63,0
February,1914,"Cities, population over 100,000",252994,33,10,5,2,2,0,1,47,4,0,0,3,1,13,26,0
February,1914,"Cities, population 45,000 to 100,000",267060,27,3,5,6,0,0,1,40,2,1,0,2,2,24,25,0
February,1914,"Cities, population 20,000 to 45,000",229816,29,3,7,2,0,2,2,38,18,0,0,6,3,14,27,0
February,1914,"Cities, population 10,000 to 20,000",174438,22,4,9,2,1,1,1,21,3,0,0,4,3,12,9,0
February,1914,"Cities, population 5,000 to 10,000",322007,44,4,2,4,1,3,3,34,2,1,0,9,1,14,28,0
March,1914,Indiana (statewide),2796957,330,59,45,33,10,21,43,482,54,10,3,84,22,171,221,0
March,1914,Northern counties,972129,71,14,21,12,4,3,5,151,22,0,1,24,5,67,82,0
March,1914,Central counties,1152277,152,29,15,15,5,8,18,227,22,7,1,36,12,78,103,0
March,1914,Southern counties,672551,107,16,9,6,1,10,20,104,10,3,1,24,5,26,36,0
March,1914,"Urban, population over 5,000",1246315,171,35,28,15,6,12,17,250,35,5,3,32,10,84,127,0
March,1914,"Rural, population under 5,000",1550642,159,24,17,18,4,9,26,232,19,5,0,52,12,87,94,0
March,1914,"Cities, population over 100,000",252994,45,13,6,5,1,3,3,59,4,2,1,5,6,18,21,0
March,1914,"Cities, population 45,000 to 100,000",267060,22,5,1,3,0,0,5,41,0,2,1,4,2,19,28,0
March,1914,"Cities, population 20,000 to 45,000",229816,24,4,2,4,2,1,2,56,17,0,0,7,0,13,34,0
March,1914,"Cities, population 10,000 to 20,000",174438,27,3,10,1,1,0,3,31,3,0,0,5,2,13,13,0
March,1914,"Cities, population 5,000 to 10,000",322007,53,10,9,2,2,8,4,63,11,1,1,11,0,21,31,0
April,1914,Indiana (statewide),2796957,325,60,33,29,21,28,47,444,56,10,3,67,25,191,184,1
April,1914,Northern counties,972129,93,7,14,17,5,1,9,137,28,2,1,18,9,61,67,0
April,1914,Central counties,1152277,144,30,12,6,9,9,14,215,18,7,1,31,11,85,76,1
April,1914,Southern counties,672551,88,23,7,6,7,18,24,92,10,1,1,18,5,45,41,0
April,1914,"Urban, population over 5,000",1246315,175,33,24,10,13,13,18,244,39,8,0,25,12,95,109,0
April,1914,"Rural, population under 5,000",1550642,150,27,9,19,8,15,29,202,17,2,3,42,13,99,75,1
