Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
April,1914,"Cities, population over 100,000",252994,50,12,4,0,3,4,3,56,7,5,0,3,2,24,17,0
April,1914,"Cities, population 45,000 to 100,000",267060,40,5,3,2,1,1,6,57,9,2,0,1,2,8,25,0
April,1914,"Cities, population 20,000 to 45,000",229816,24,6,6,3,2,2,3,46,13,0,0,4,0,19,38,0
April,1914,"Cities, population 10,000 to 20,000",174438,20,3,7,2,1,3,0,41,2,1,0,8,5,9,10,0
April,1914,"Cities, population 5,000 to 10,000",322007,41,7,4,3,6,3,6,44,8,0,0,9,3,35,19,0
May,1914,Indiana (statewide),2796957,309,68,21,19,6,28,44,170,75,17,2,30,18,197,219,1
May,1914,Northern counties,972129,83,22,10,6,2,5,14,49,32,1,0,9,5,67,60,0
May,1914,Central counties,1152277,133,37,7,5,2,13,11,84,28,14,1,13,8,89,117,0
May,1914,Southern counties,672551,93,9,4,8,2,10,19,37,15,2,1,8,5,41,42,1
May,1914,"Urban, population over 5,000",1246315,154,43,9,9,4,13,20,102,47,13,1,12,8,106,133,0
May,1914,"Rural, population under 5,000",1550642,155,25,12,10,2,15,24,68,28,4,1,18,10,91,86,1
May,1914,"Cities, population over 100,000",252994,40,12,1,1,1,6,3,24,14,8,0,3,1,31,34,0
May,1914,"Cities, population 45,000 to 100,000",267060,27,4,3,0,0,2,5,22,8,1,0,1,2,22,27,0
May,1914,"Cities, population 20,000 to 45,000",229816,29,8,1,1,1,3,1,21,13,0,0,1,1,14,35,0
May,1914,"Cities, population 10,000 to 20,000",174438,22,5,2,2,0,0,1,16,4,0,1,3,3,14,6,0
May,1914,"Cities, population 5,000 to 10,000",322007,36,14,2,5,2,2,10,19,8,4,0,4,1,25,31,0
June,1914,Indiana (statewide),2796957,282,45,31,13,5,19,29,82,84,6,1,3,10,186,247,1
June,1914,Northern counties,972129,69,11,11,5,1,2,6,19,23,1,0,1,1,65,94,0
June,1914,Central counties,1152277,124,24,7,5,4,7,5,46,32,4,0,1,6,77,98,1
June,1914,Southern counties,672551,89,10,13,3,0,10,18,17,29,1,1,1,3,44,55,0
June,1914,"Urban, population over 5,000",1246315,137,23,21,6,3,15,7,48,55,3,0,1,7,100,139,0
June,1914,"Rural, population under 5,000",1550642,145,22,10,7,2,4,22,34,29,3,1,2,3,86,108,1
June,1914,"Cities, population over 100,000",252994,43,11,3,0,2,5,0,17,14,1,0,0,1,25,33,0
June,1914,"Cities, population 45,000 to 100,000",267060,23,2,2,3,0,5,1,11,7,1,0,0,2,21,33,0
June,1914,"Cities, population 20,000 to 45,000",229816,21,2,3,2,1,0,0,6,19,0,0,0,0,14,32,0
June,1914,"Cities, population 10,000 to 20,000",174438,11,4,7,0,0,3,0,6,5,0,0,1,1,11,18,0
June,1914,"Cities, population 5,000 to 10,000",322007,39,4,6,1,0,2,6,8,10,1,0,0,3,29,23,0
July,1914,Indiana (statewide),2796957,271,55,34,10,5,7,30,63,254,3,2,4,11,179,263,0
July,1914,Northern counties,972129,70,12,15,3,0,2,8,25,81,0,0,1,3,69,90,0
July,1914,Central counties,1152277,124,30,8,7,3,3,8,23,95,2,1,2,2,75,122,0
July,1914,Southern counties,672551,77,13,11,0,2,2,14,15,78,1,1,1,6,35,51,0
July,1914,"Urban, population over 5,000",1246315,127,31,19,5,4,2,10,39,150,2,0,1,6,86,143,0
July,1914,"Rural, population under 5,000",1550642,144,24,15,5,1,5,20,24,104,1,2,3,5,93,120,0
July,1914,"Cities, population over 100,000",252994,36,14,2,2,2,0,2,9,32,1,0,0,1,20,36,0
July,1914,"Cities, population 45,000 to 100,000",267060,24,5,5,0,0,0,3,9,26,0,0,0,2,15,30,0
July,1914,"Cities, population 20,000 to 45,000",229816,19,2,4,2,0,2,2,6,46,0,0,0,0,13,32,0
July,1914,"Cities, population 10,000 to 20,000",174438,23,2,4,1,0,0,0,7,13,0,0,0,0,17,11,0
July,1914,"Cities, population 5,000 to 10,000",322007,25,8,4,0,2,0,3,8,33,1,0,1,3,21,34,0
August,1914,Indiana (statewide),2796957,250,40,65,20,0,4,12,68,308,2,4,4,10,179,248,1
August,1914,Northern counties,972129,60,11,14,12,0,1,5,24,112,0,3,0,3,72,77,0
August,1914,Central counties,1152277,120,21,23,5,0,1,4,31,122,0,0,3,3,76,114,1
August,1914,Southern counties,672551,70,8,28,3,0,2,3,13,74,2,1,1,4,31,57,0
August,1914,"Urban, population over 5,000",1246315,119,24,31,8,0,2,7,36,177,1,4,1,6,94,137,0
August,1914,"Rural, population under 5,000",1550642,131,16,34,12,0,2,5,32,131,1,0,3,4,85,111,1
August,1914,"Cities, population over 100,000",252994,35,4,7,2,0,1,2,12,27,0,0,0,1,24,36,0
August,1914,"Cities, population 45,000 to 100,000",267060,24,5,5,2,0,1,1,7,38,1,4,1,0,13,33,0
August,1914,"Cities, population 20,000 to 45,000",229816,15,4,4,2,0,0,2,4,43,0,0,0,0,12,28,0
August,1914,"Cities, population 10,000 to 20,000",174438,19,3,6,1,0,0,1,5,30,0,0,0,3,11,13,0
August,1914,"Cities, population 5,000 to 10,000",322007,26,8,9,1,0,0,1,8,39,0,0,0,2,34,27,0
September,1914,Indiana (statewide),2796957,251,50,70,28,6,0,6,58,287,3,5,2,11,167,221,0
September,1914,Northern counties,972129,64,10,18,8,1,0,3,19,113,0,2,0,3,61,83,0
September,1914,Central counties,1152277,111,27,35,10,1,0,2,29,108,2,0,0,6,73,88,0
September,1914,Southern counties,672551,76,13,17,10,4,0,1,10,66,1,3,2,2,33,50,0
September,1914,"Urban, population over 5,000",1246315,137,32,35,14,5,0,4,36,160,2,1,0,3,90,121,0
September,1914,"Rural, population under 5,000",1550642,114,18,35,14,1,0,2,22,127,1,4,2,8,77,100,0
September,1914,"Cities, population over 100,000",252994,38,8,12,0,1,0,0,11,16,0,0,0,2,22,19,0
September,1914,"Cities, population 45,000 to 100,000",267060,21,6,4,6,0,0,0,9,40,2,0,0,0,17,29,0
September,1914,"Cities, population 20,000 to 45,000",229816,19,9,5,6,0,0,0,6,38,0,0,0,0,13,25,0
September,1914,"Cities, population 10,000 to 20,000",174438,18,1,3,2,1,0,2,5,22,0,0,0,0,13,20,0
September,1914,"Cities, population 5,000 to 10,000",322007,41,8,11,0,3,0,2,5,44,0,1,0,1,25,28,0
October,1914,Indiana (statewide),2796957,232,59,75,39,8,4,11,84,217,3,3,3,18,160,235,0
October,1914,Northern counties,972129,59,20,21,10,0,0,6,20,72,3,1,1,6,49,79,0
October,1914,Central counties,1152277,114,25,31,19,1,2,4,51,94,0,0,2,7,79,121,0
October,1914,Southern counties,672551,59,14,23,10,7,2,1,13,51,0,2,0,5,32,35,0
October,1914,"Urban, population over 5,000",1246315,121,33,39,24,3,4,0,53,128,3,3,2,9,74,149,0
October,1914,"Rural, population under 5,000",1550642,111,26,36,15,5,0,11,31,89,0,0,1,9,86,86,0
October,1914,"Cities, population over 100,000",252994,30,11,12,2,0,2,0,17,28,0,1,0,2,24,30,0
October,1914,"Cities, population 45,000 to 100,000",267060,33,5,9,9,0,2,0,10,18,0,0,0,2,13,41,0
October,1914,"Cities, population 20,000 to 45,000",229816,14,4,3,8,0,0,0,7,33,0,1,0,3,16,32,0
October,1914,"Cities, population 10,000 to 20,000",174438,14,7,8,1,0,0,0,6,14,1,0,1,1,3,21,0
October,1914,"Cities, population 5,000 to 10,000",322007,30,6,7,4,3,0,0,13,35,2,1,1,1,18,25,0
November,1914,Indiana (statewide),2796957,234,32,78,50,7,6,10,165,87,5,2,7,13,158,217,1
November,1914,Northern counties,972129,50,5,29,16,1,0,2,53,33,1,1,2,6,65,80,0
November,1914,Central counties,1152277,123,18,32,24,4,1,3,83,26,4,0,3,4,61,98,1
November,1914,Southern counties,672551,61,9,17,10,2,5,5,29,28,0,1,2,3,32,39,0
November,1914,"Urban, population over 5,000",1246315,108,20,33,32,4,5,4,96,44,4,0,4,11,70,113,0
November,1914,"Rural, population under 5,000",1550642,126,12,45,18,3,1,6,69,43,1,2,3,2,88,104,1
November,1914,"Cities, population over 100,000",252994,32,2,11,3,2,0,1,26,5,3,0,0,3,12,25,0
November,1914,"Cities, population 45,000 to 100,000",267060,20,4,4,10,1,0,0,15,9,1,0,0,3,17,21,0
November,1914,"Cities, population 20,000 to 45,000",229816,17,5,3,10,0,0,0,25,16,0,0,1,2,11,28,0
November,1914,"Cities, population 10,000 to 20,000",174438,8,5,9,3,1,0,1,11,5,0,0,0,2,12,8,0
November,1914,"Cities, population 5,000 to 10,000",322007,31,4,6,6,0,5,2,19,9,0,0,3,1,18,31,0
December,1914,Indiana (statewide),2796957,253,53,41,53,20,2,12,275,41,6,0,26,20,167,190,1
December,1914,Northern counties,972129,63,12,12,13,4,0,6,89,19,1,0,16,4,59,73,1
December,1914,Central counties,1152277,127,27,17,23,13,2,3,116,13,4,0,6,7,84,91,0
December,1914,Southern counties,672551,63,14,12,17,3,0,3,70,9,1,0,4,9,24,26,0
December,1914,"Urban, population over 5,000",1246315,125,22,20,29,13,1,8,139,18,3,0,18,9,92,104,0
December,1914,"Rural, population under 5,000",1550642,128,31,21,24,7,1,4,136,23,3,0,8,11,75,86,1
December,1914,"Cities, population over 100,000",252994,33,7,4,8,2,0,1,37,2,2,0,2,3,21,21,0
December,1914,"Cities, population 45,000 to 100,000",267060,31,4,4,7,2,0,3,29,5,1,0,1,4,15,28,0
December,1914,"Cities, population 20,000 to 45,000",229816,26,2,4,4,4,0,3,27,6,0,0,4,0,15,20,0
December,1914,"Cities, population 10,000 to 20,000",174438,8,1,5,4,1,0,1,20,2,0,0,2,0,16,11,0
December,1914,"Cities, population 5,000 to 10,000",322007,27,8,3,6,4,1,0,26,3,0,0,9,2,25,24,0
