Month,Year,Region,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria
July,1906,Southern counties,773,96,16,18,3
July,1906,Urban,1264,115,18,18,6
July,1906,Rural,1449,159,27,26,3
July,1906,"Cities, class 1",393,38,8,8,0
July,1906,"Cities, class 2",216,13,2,2,1
July,1906,"Cities, class 3",262,26,3,3,0
July,1906,"Cities, class 4",238,20,1,3,2
July,1906,"Cities, class 5",155,18,4,2,3
August,1906,Indiana (statewide),3000,297,54,93,11
August,1906,Northern counties,939,98,12,23,7
August,1906,Central counties,1294,119,29,41,3
August,1906,Southern counties,767,80,13,29,1
August,1906,Urban,1334,118,17,37,6
August,1906,Rural,1666,179,37,56,5
August,1906,"Cities, class 1",380,34,7,9,0
August,1906,"Cities, class 2",247,29,1,7,4
August,1906,"Cities, class 3",279,22,2,12,1
August,1906,"Cities, class 4",260,15,3,3,0
August,1906,"Cities, class 5",168,18,4,6,1
September,1906,Indiana (statewide),3018,240,51,143,31
September,1906,Northern counties,969,70,8,38,16
September,1906,Central counties,1288,106,28,62,12
September,1906,Southern counties,761,64,15,43,3
September,1906,Urban,1355,105,26,53,18
September,1906,Rural,1663,135,25,90,13
September,1906,"Cities, class 1",337,35,7,11,0
September,1906,"Cities, class 2",247,11,5,16,5
September,1906,"Cities, class 3",349,24,6,12,8
September,1906,"Cities, class 4",244,21,3,9,4
September,1906,"Cities, class 5",178,14,5,5,1
October,1906,Indiana (statewide),2847,267,56,150,64
October,1906,Northern counties,923,78,18,39,23
October,1906,Central counties,1187,116,21,66,28
October,1906,Southern counties,737,73,17,45,13
October,1906,Urban,1370,123,32,51,40
October,1906,Rural,1477,144,24,99,24
October,1906,"Cities, class 1",332,27,6,9,6
October,1906,"Cities, class 2",207,18,4,9,10
October,1906,"Cities, class 3",377,36,8,12,10
October,1906,"Cities, class 4",258,22,7,11,9
October,1906,"Cities, class 5",196,22,7,10,5
November,1906,Indiana (statewide),2908,284,39,135,79
November,1906,Northern counties,948,83,12,37,33
November,1906,Central counties,1156,122,15,51,27
November,1906,Southern counties,804,79,12,47,19
November,1906,Urban,1375,138,22,52,43
November,1906,Rural,1533,146,17,83,36
November,1906,"Cities, class 1",361,41,6,14,6
November,1906,"Cities, class 2",227,25,2,2,15
November,1906,"Cities, class 3",351,29,5,22,11
November,1906,"Cities, class 4",277,29,7,6,5
November,1906,"Cities, class 5",159,14,2,8,6
December,1906,Indiana (statewide),2956,293,36,79,60
December,1906,Northern counties,948,80,8,25,29
December,1906,Central counties,1264,127,18,24,19
December,1906,Southern counties,744,86,10,30,12
December,1906,Urban,1309,123,16,34,38
December,1906,Rural,1647,167,20,45,22
December,1906,"Cities, class 1",385,42,6,12,11
December,1906,"Cities, class 2",240,19,2,5,8
December,1906,"Cities, class 3",297,28,3,4,9
December,1906,"Cities, class 4",223,16,4,6,8
December,1906,"Cities, class 5",164,18,1,7,2
