Month,Year,Region,Total Deaths
January,1916,Indiana (statewide),4092
January,1916,Northern counties,1404
January,1916,Central counties,1764
January,1916,Southern counties,924
January,1916,Urban,2000
January,1916,Rural,2092
January,1916,"Cities, class 1",449
January,1916,"Cities, class 2",394
January,1916,"Cities, class 3",461
January,1916,"Cities, class 4",212
January,1916,"Cities, class 5",484
February,1916,Indiana (statewide),3299
February,1916,Northern counties,1177
February,1916,Central counties,1372
February,1916,Southern counties,750
February,1916,Urban,1580
February,1916,Rural,1719
February,1916,"Cities, class 1",339
February,1916,"Cities, class 2",360
February,1916,"Cities, class 3",379
February,1916,"Cities, class 4",154
February,1916,"Cities, class 5",348
March,1916,Indiana (statewide),3603
March,1916,Northern counties,1239
March,1916,Central counties,1595
March,1916,Southern counties,769
March,1916,Urban,1805
March,1916,Rural,1798
March,1916,"Cities, class 1",434
March,1916,"Cities, class 2",348
March,1916,"Cities, class 3",453
March,1916,"Cities, class 4",187
March,1916,"Cities, class 5",383
April,1916,Indiana (statewide),3249
April,1916,Northern counties,1202
April,1916,Central counties,1347
April,1916,Southern counties,700
April,1916,Urban,1728
April,1916,Rural,1521
April,1916,"Cities, class 1",392
April,1916,"Cities, class 2",326
April,1916,"Cities, class 3",460
April,1916,"Cities, class 4",171
April,1916,"Cities, class 5",379
May,1916,Indiana (statewide),2925
May,1916,Northern counties,1032
May,1916,Central counties,1268
May,1916,Southern counties,625
May,1916,Urban,1523
May,1916,Rural,1402
May,1916,"Cities, class 1",354
May,1916,"Cities, class 2",285
May,1916,"Cities, class 3",379
May,1916,"Cities, class 4",181
May,1916,"Cities, class 5",324
June,1916,Indiana (statewide),2494
June,1916,Northern counties,903
June,1916,Central counties,1034
June,1916,Southern counties,557
June,1916,Urban,1305
June,1916,Rural,1189
June,1916,"Cities, class 1",298
June,1916,"Cities, class 2",261
June,1916,"Cities, class 3",322
June,1916,"Cities, class 4",135
June,1916,"Cities, class 5",289
July,1916,Indiana (statewide),3118
July,1916,Northern counties,1084
July,1916,Central counties,1299
July,1916,Southern counties,735
July,1916,Urban,1656
July,1916,Rural,1462
July,1916,"Cities, class 1",335
July,1916,"Cities, class 2",348
July,1916,"Cities, class 3",445
July,1916,"Cities, class 4",172
July,1916,"Cities, class 5",356
August,1916,Indiana (statewide),3023
August,1916,Northern counties,1010
August,1916,Central counties,1351
August,1916,Southern counties,662
August,1916,Urban,1659
August,1916,Rural,1364
August,1916,"Cities, class 1",377
August,1916,"Cities, class 2",323
August,1916,"Cities, class 3",416
August,1916,"Cities, class 4",190
August,1916,"Cities, class 5",353
September,1916,Indiana (statewide),2935
September,1916,Northern counties,1056
September,1916,Central counties,1271
September,1916,Southern counties,608
September,1916,Urban,1593
September,1916,Rural,1342
September,1916,"Cities, class 1",353
September,1916,"Cities, class 2",313
September,1916,"Cities, class 3",399
September,1916,"Cities, class 4",202
September,1916,"Cities, class 5",326
October,1916,Indiana (statewide),2952
October,1916,Northern counties,997
October,1916,Central counties,1305
October,1916,Southern counties,650
October,1916,Urban,1585
October,1916,Rural,1367
October,1916,"Cities, class 1",327
October,1916,"Cities, class 2",330
October,1916,"Cities, class 3",420
October,1916,"Cities, class 4",160
October,1916,"Cities, class 5",348
November,1916,Indiana (statewide),2740
November,1916,Northern counties,935
November,1916,Central counties,1155
November,1916,Southern counties,650
November,1916,Urban,1472
November,1916,Rural,1268
November,1916,"Cities, class 1",302
November,1916,"Cities, class 2",331
November,1916,"Cities, class 3",371
November,1916,"Cities, class 4",141
November,1916,"Cities, class 5",327
December,1916,Indiana (statewide),3097
December,1916,Northern counties,1029
December,1916,Central counties,1366
December,1916,Southern counties,702
December,1916,Urban,1590
December,1916,Rural,1507
December,1916,"Cities, class 1",363
December,1916,"Cities, class 2",295
December,1916,"Cities, class 3",406
December,1916,"Cities, class 4",168
December,1916,"Cities, class 5",358
