Month,Year,Region,Total Deaths
January,1914,Indiana (statewide),3080
January,1914,Northern counties,1042
January,1914,Central counties,1333
January,1914,Southern counties,705
January,1914,Urban,1494
January,1914,Rural,1586
January,1914,"Cities, class 1",347
January,1914,"Cities, class 2",266
January,1914,"Cities, class 3",291
January,1914,"Cities, class 4",217
January,1914,"Cities, class 5",373
February,1914,Indiana (statewide),2939
February,1914,Northern counties,978
February,1914,Central counties,1270
February,1914,Southern counties,691
February,1914,Urban,1483
February,1914,Rural,1456
February,1914,"Cities, class 1",340
February,1914,"Cities, class 2",290
February,1914,"Cities, class 3",303
February,1914,"Cities, class 4",196
February,1914,"Cities, class 5",354
March,1914,Indiana (statewide),3596
March,1914,Northern counties,1142
March,1914,Central counties,1622
March,1914,Southern counties,832
March,1914,Urban,1796
March,1914,Rural,1800
March,1914,"Cities, class 1",413
March,1914,"Cities, class 2",336
March,1914,"Cities, class 3",339
March,1914,"Cities, class 4",247
March,1914,"Cities, class 5",461
April,1914,Indiana (statewide),3316
April,1914,Northern counties,1040
April,1914,Central counties,1500
April,1914,Southern counties,776
April,1914,Urban,1671
April,1914,Rural,1645
April,1914,"Cities, class 1",397
April,1914,"Cities, class 2",323
April,1914,"Cities, class 3",303
April,1914,"Cities, class 4",220
April,1914,"Cities, class 5",428
May,1914,Indiana (statewide),3002
May,1914,Northern counties,944
May,1914,Central counties,1381
May,1914,Southern counties,677
May,1914,Urban,1525
May,1914,Rural,1477
May,1914,"Cities, class 1",392
May,1914,"Cities, class 2",272
May,1914,"Cities, class 3",253
May,1914,"Cities, class 4",207
May,1914,"Cities, class 5",401
June,1914,Indiana (statewide),2598
June,1914,Northern counties,822
June,1914,Central counties,1147
June,1914,Southern counties,629
June,1914,Urban,1314
June,1914,Rural,1284
June,1914,"Cities, class 1",315
June,1914,"Cities, class 2",263
June,1914,"Cities, class 3",222
June,1914,"Cities, class 4",169
June,1914,"Cities, class 5",345
July,1914,Indiana (statewide),2789
July,1914,Northern counties,887
July,1914,Central counties,1218
July,1914,Southern counties,684
July,1914,Urban,1417
July,1914,Rural,1372
July,1914,"Cities, class 1",340
July,1914,"Cities, class 2",277
July,1914,"Cities, class 3",264
July,1914,"Cities, class 4",193
July,1914,"Cities, class 5",343
August,1914,Indiana (statewide),2753
August,1914,Northern counties,978
August,1914,Central counties,1125
August,1914,Southern counties,650
August,1914,Urban,1441
August,1914,Rural,1312
August,1914,"Cities, class 1",326
August,1914,"Cities, class 2",289
August,1914,"Cities, class 3",246
August,1914,"Cities, class 4",212
August,1914,"Cities, class 5",368
September,1914,Indiana (statewide),2713
September,1914,Northern counties,914
September,1914,Central counties,1187
September,1914,Southern counties,612
September,1914,Urban,1365
September,1914,Rural,1348
September,1914,"Cities, class 1",307
September,1914,"Cities, class 2",260
September,1914,"Cities, class 3",248
September,1914,"Cities, class 4",198
September,1914,"Cities, class 5",352
October,1914,Indiana (statewide),2736
October,1914,Northern counties,935
October,1914,Central counties,1212
October,1914,Southern counties,589
October,1914,Urban,1446
October,1914,Rural,1290
October,1914,"Cities, class 1",347
October,1914,"Cities, class 2",305
October,1914,"Cities, class 3",241
October,1914,"Cities, class 4",213
October,1914,"Cities, class 5",340
November,1914,Indiana (statewide),2632
November,1914,Northern counties,897
November,1914,Central counties,1133
November,1914,Southern counties,602
November,1914,Urban,1320
November,1914,Rural,1312
November,1914,"Cities, class 1",284
November,1914,"Cities, class 2",258
November,1914,"Cities, class 3",243
November,1914,"Cities, class 4",179
November,1914,"Cities, class 5",356
December,1914,Indiana (statewide),2842
December,1914,Northern counties,997
December,1914,Central counties,1256
December,1914,Southern counties,589
December,1914,Urban,1443
December,1914,Rural,1399
December,1914,"Cities, class 1",328
December,1914,"Cities, class 2",299
December,1914,"Cities, class 3",271
December,1914,"Cities, class 4",184
December,1914,"Cities, class 5",361
