Month,Year,Region,Births,Total Deaths
January,1921,Indiana (statewide),5428,3190
January,1921,Northern counties,2141,1137
January,1921,Central counties,2130,1406
January,1921,Southern counties,1157,647
January,1921,Urban,2570,1556
January,1921,Rural,2858,1634
January,1921,"Cities, class 1",567,385
January,1921,"Cities, class 2",749,400
January,1921,"Cities, class 3",584,365
January,1921,"Cities, class 4",377,248
January,1921,"Cities, class 5",293,158
February,1921,Indiana (statewide),5115,2914
February,1921,Northern counties,1961,1051
February,1921,Central counties,2034,1266
February,1921,Southern counties,1120,597
February,1921,Urban,2385,1432
February,1921,Rural,2730,1482
February,1921,"Cities, class 1",553,318
February,1921,"Cities, class 2",634,414
February,1921,"Cities, class 3",592,333
February,1921,"Cities, class 4",344,214
February,1921,"Cities, class 5",262,153
March,1921,Indiana (statewide),5617,2968
March,1921,Northern counties,2108,1061
March,1921,Central counties,2293,1259
March,1921,Southern counties,1216,648
March,1921,Urban,2673,1385
March,1921,Rural,2944,1583
March,1921,"Cities, class 1",641,324
March,1921,"Cities, class 2",721,363
March,1921,"Cities, class 3",633,342
March,1921,"Cities, class 4",388,198
March,1921,"Cities, class 5",290,158
April,1921,Indiana (statewide),5330,2787
April,1921,Northern counties,1988,987
April,1921,Central counties,2112,1230
April,1921,Southern counties,1230,570
April,1921,Urban,2491,1325
April,1921,Rural,2839,1462
April,1921,"Cities, class 1",596,359
April,1921,"Cities, class 2",684,317
April,1921,"Cities, class 3",601,314
April,1921,"Cities, class 4",352,198
April,1921,"Cities, class 5",258,137
May,1921,Indiana (statewide),5768,2851
May,1921,Northern counties,2126,943
May,1921,Central counties,2383,1297
May,1921,Southern counties,1259,611
May,1921,Urban,2734,1346
May,1921,Rural,3034,1505
May,1921,"Cities, class 1",620,364
May,1921,"Cities, class 2",762,358
May,1921,"Cities, class 3",633,313
May,1921,"Cities, class 4",386,178
May,1921,"Cities, class 5",333,133
June,1921,Indiana (statewide),5189,2496
June,1921,Northern counties,2022,845
June,1921,Central counties,2041,1083
June,1921,Southern counties,1126,568
June,1921,Urban,2480,1230
June,1921,Rural,2709,1266
June,1921,"Cities, class 1",538,328
June,1921,"Cities, class 2",691,326
June,1921,"Cities, class 3",591,270
June,1921,"Cities, class 4",370,156
June,1921,"Cities, class 5",290,150
July,1921,Indiana (statewide),5322,2864
July,1921,Northern counties,1925,982
July,1921,Central counties,2218,1240
July,1921,Southern counties,1179,642
July,1921,Urban,2495,1359
July,1921,Rural,2827,1505
July,1921,"Cities, class 1",614,310
July,1921,"Cities, class 2",731,348
July,1921,"Cities, class 3",557,326
July,1921,"Cities, class 4",353,204
July,1921,"Cities, class 5",240,171
August,1921,Indiana (statewide),5459,2699
August,1921,Northern counties,2118,985
August,1921,Central counties,2134,1174
August,1921,Southern counties,1207,540
August,1921,Urban,2641,1267
August,1921,Rural,2818,1432
August,1921,"Cities, class 1",590,310
August,1921,"Cities, class 2",751,337
August,1921,"Cities, class 3",624,280
August,1921,"Cities, class 4",387,198
August,1921,"Cities, class 5",289,142
September,1921,Indiana (statewide),5536,2662
September,1921,Northern counties,2076,928
September,1921,Central counties,2226,1206
September,1921,Southern counties,1234,528
September,1921,Urban,2602,1325
September,1921,Rural,2934,1337
September,1921,"Cities, class 1",598,327
September,1921,"Cities, class 2",732,358
September,1921,"Cities, class 3",602,320
September,1921,"Cities, class 4",351,175
September,1921,"Cities, class 5",319,145
October,1921,Indiana (statewide),5328,2902
October,1921,Northern counties,2052,947
October,1921,Central counties,2068,1279
October,1921,Southern counties,1206,676
October,1921,Urban,2492,1320
October,1921,Rural,2836,1582
October,1921,"Cities, class 1",569,339
October,1921,"Cities, class 2",666,352
October,1921,"Cities, class 3",646,319
October,1921,"Cities, class 4",352,157
October,1921,"Cities, class 5",259,153
November,1921,Indiana (statewide),5124,2748
November,1921,Northern counties,1952,896
November,1921,Central counties,2046,1241
November,1921,Southern counties,1126,611
November,1921,Urban,2490,1354
November,1921,Rural,2634,1394
November,1921,"Cities, class 1",563,351
November,1921,"Cities, class 2",757,348
November,1921,"Cities, class 3",565,307
November,1921,"Cities, class 4",359,178
November,1921,"Cities, class 5",246,170
December,1921,Indiana (statewide),5075,2916
December,1921,Northern counties,1878,986
December,1921,Central counties,2016,1305
December,1921,Southern counties,1181,625
December,1921,Urban,2296,1394
December,1921,Rural,2779,1522
December,1921,"Cities, class 1",501,389
December,1921,"Cities, class 2",649,363
December,1921,"Cities, class 3",546,313
December,1921,"Cities, class 4",365,178
December,1921,"Cities, class 5",235,151
